TIME_MESSAGE,MESSAGE,REGION,MESSAGE TYPE,CATEGORY
2023-06-13 11:09:19 PM,"Mindanao Grid-06/13/2023 23:06: WMPC DG07 and DG09 cut-out at 2258H and 2303H, respectively from RPS - System Voltage Requirement.  [WEBSMS]",CMIN,outage,plant
2023-06-13 10:36:08 PM,Mindanao Grid-06/13/2023 22:34: WMPC DG02 cut-out at 2213H from RPS - System Voltage Requirement.  [WEBSMS],CMIN,outage,plant
2023-06-13 9:37:15 PM,Mindanao Grid-06/13/2023 21:35: WMPC DG03 cut-out at 2133H from RPS - System Voltage Requirement. [WEBSMS],CMIN,outage,plant
2023-06-13 8:00:48 PM,Mindanao Grid-06/13/2023 20:01: WMPC DG10 cut-out at 1958 from RPS - System Voltage Requirement. [WEBSMS],CMIN,outage,plant
2023-06-13 7:47:25 PM,Mindanao Grid-06/13/2023 19:48: WMPC DG08 cut-out at 1943 from RPS - System Voltage Requirement. [WEBSMS],CMIN,outage,plant
2023-06-13 6:15:14 PM,"[NSO Update] Mindanao Grid-06/13/2023 18:12: GRID UPDATE AS OF 6:00 PM System Condition: NORMAL CAP=3070MW, PK=2125MW, RR=30MW, NetOpMargin: EVE=915 Highest Unit O/L: GNPK 2 & 3 @ 138MW Derated Plant: MCC @100MW,MPC @40MW, MA1 @30.5MW, MA2 @50MW, AG1 @57MW, AG2 @84MW, AG4 @100MW, AG5 @32MW, AG6 @99MW, AG7 @28MW, PG4 @120MW [WEBSMS]",CMIN,other,plant
2023-06-13 6:15:13 PM,Mindanao Grid-06/13/2023 18:13: Agus 6 Unit 3 cut in at 1803H. From forced outage. [WEBSMS],CMIN,outage,plant
2023-06-13 6:15:11 PM,"[NSO Update] Luzon Grid-06/13/2023 18:12: GRID UPDATE AS OF 6:00 PM System Condition: NORMAL CAP=12686MW, PK=10313MW, RR=170MW, NetOpMargin: EVE=2203 Highest Unit O/L: GNPD 1 & 2 @ 668MW Derated Plant: Calaca 2 @ 180MW, Masinloc 2 @ 305MW, Masinloc 3 @ 290MW, Sual 1 @ 580MW [WEBSMS]",CLUZ,other,plant
2023-06-13 6:11:38 PM,"[NSO Update] Visayas Grid-06/13/2023 18:09: GRID UPDATE AS OF 6:00 PM System Condition: NORMAL CAP=2450MW, PK=2269MW, RR=0MW, NetOpMargin: EVE=180 Highest Unit O/L: THVI 1 & 2 @ 169MW Derated Plant: TPC Thermal @ 82MW, EDC Total @ 340MW, EAUC 1 @ 8MW, PB104 U3 @ 6MW [WEBSMS]",CVIS,other,plant
2023-06-13 4:15:05 PM,"Mindanao Grid-06/13/2023 16:13: Davao-Bunawan 138 kV L2 tripped at 1138H which resulted ""loss of power"" to Bunawan-DRA 138kV L1 since the 138KV B1 is under Planned Outage. Ind: Bunawan SS= AN, 1.5kM; Davao SS= A, 29.9KM. Restored Davao-Bunawan 138kV L2 at 1144H and looped at Davao SS at 1148H. Restored Bunawan-DRA 138kV L1 at 1146H. Unplanned Outage...  [WEBSMS]",CMIN,restoration,line
2023-06-13 3:31:40 PM,Mindanao Grid-06/13/2023 15:31: WMPC DG01 cut-out at 1525 from RPS - System Voltage Requirement. [WEBSMS],CMIN,outage,plant
2023-06-13 3:26:40 PM,Mindanao Grid-06/13/2023 15:24: Bunawan SS 138kV Bus 2 tripped at 1128H while 138kV Bus 1 is on Planned Outage. Ind: 50BF. Successfully restored at 1135H. Unplanned Outage...  [WEBSMS],CMIN,restoration,line
2023-06-13 3:18:39 PM,Luzon Grid-06/13/2023 15:18: Labo-Gumaca 230kV Line 1 restored at 1518H. (Planned Outage)  [WEBSMS],CLUZ,restoration,line
2023-06-13 2:13:15 PM,[NSO Update] Visayas Grid-06/13/2023 14:13: SO initiated Market Intervention for Visayas was issued today starting interval 1355H due to implementation of MLD to prevent overloading of Cebu-Mandaue 138kV Line 1 and was lifted at 1358H. Market operation will resume starting interval 1405H.  [WEBSMS],CVIS,other,line
2023-06-13 2:05:52 PM,Mindanao Grid-06/13/2023 14:06: Kegi Tandag cut in at 1401H. Follow RTD. [WEBSMS],CMIN,other,plant
2023-06-13 2:01:03 PM,Visayas Grid-06/13/2023 14:00: Lapulapu GIS. Implemented MLD in MECO with a load of 3 MW at 1353H and restored at 1358H.  [WEBSMS],CVIS,restoration,plant
2023-06-13 1:59:55 PM,Mindanao Grid-06/13/2023 14:00: Therma Marine 1 Unit 1 cut in at 1357H. Follow RTD. [WEBSMS],CMIN,other,plant
2023-06-13 1:43:37 PM,Visayas Grid-06/13/2023 13:43: Mandaue GIS. Paknaan fdr restored at 1341H.  [WEBSMS],CVIS,restoration,plant
2023-06-13 1:40:09 PM,Visayas Grid-06/13/2023 13:40: Cebu-Mandaue Line 1 SIPS activated at 1334H affecting VECO Paknaan Feeder at 38.8 MW.  [WEBSMS],CVIS,other,plant
2023-06-13 1:07:29 PM,"[NSO Update] Mindanao Grid-06/13/2023 13:08: GRID UPDATE AS OF 1:00 PM System Condition: NORMAL CAP=3112MW, PK=2052MW, RR=30MW, NetOpMargin: PM=1030, EVE=1057 Highest Unit O/L: GNPK 2&3 @138MW Derated Plant: MCC @100MW, MPC @40MW, MA1 @30.5MW, MA2 @50MW, AG1 @57MW, AG2 @84MW, AG4 @100MW, AG5 @32MW, AG6 @99MW, AG7 @28MW, PG4 @140MW [WEBSMS]",CMIN,other,plant
2023-06-13 12:54:01 PM,"[NSO Update] Visayas Grid-06/13/2023 12:51: GRID UPDATE AS OF 1:00 PM System Condition: NORMAL CAP=2708MW, PK=2323MW, RR=0MW, NetOpMargin: PM=385, EVE=266 Highest Unit O/L: THVI 1&2 @169MW Derated Plant: TPC-Thermal @82MW, Leyte A (total) @325MW  [WEBSMS]",CVIS,other,plant
2023-06-13 12:51:30 PM,"[NSO Update] Luzon Grid-06/13/2023 12:47: GRID UPDATE AS OF 1:00 PM System Condition: NORMAL CAP=13211MW, PK=11317MW, RR=220MW, NetOpMargin: PM=1675, EVE=2131 Highest Unit O/L: GNPD 1&2 @668MW Derated Plant: CLC2 @180MW, MSLC2 @305MW, MSLC3 @290MW, SUAL 1 @580MW  [WEBSMS]",CLUZ,other,plant
2023-06-13 12:04:04 PM,Mindanao Grid-06/13/2023 12:05: Correction:  Davao- Bunawan 138kV  L2 tripped at 1138H due to AN fault. Restored at 1144H.  [WEBSMS],CMIN,restoration,line
2023-06-13 11:58:06 AM,Luzon Grid-06/13/2023 11:56: 9-02CB04ILJ restored at 1155H. (Unplanned Outage)  [WEBSMS],CLUZ,restoration,plant
2023-06-13 11:54:48 AM,Mindanao Grid-06/13/2023 11:52: Davao- Bunawan 138 L2 tripped at 1138H due to AN fault. Restored at 1138H.  [WEBSMS],CMIN,restoration,plant
2023-06-13 11:45:34 AM,Mindanao Grid-06/13/2023 11:46: Bunawan  138kV Bus 2 tripped at 1128H due to  breaker fail ( 50BF) while Bus 1 was on Planned outage. Details to follow.  [WEBSMS],CMIN,outage,line
2023-06-13 11:11:24 AM,Luzon Grid-06/13/2023 11:08: 8-07CB04MBA restored at 1104H. (Unplanned Outage)  [WEBSMS],CLUZ,restoration,plant
2023-06-13 11:07:21 AM,Mindanao Grid-06/13/2023 11:08: WMPC DG10 cut-in at 1101H as RPS [WEBSMS],CMIN,other,plant
2023-06-13 11:01:25 AM,Mindanao Grid-06/13/2023 10:59: FDC U2 tripped at 1052H  with 83.62 MW gross generation. Indications to follow. Frequency dipped to 59.1986 Hz ( NO ALD)  [WEBSMS],CMIN,outage,plant
2023-06-13 10:23:02 AM,"Mindanao Grid-06/13/2023 10:21: KG Jimenez DG1 RPS activated. Call time: 0941H, Cut-in time: 0947H, RPS Start: 0955H, Attained FL: 0958H. Voltage regulation from 135.3kV to 135.8kV at Aurora SS...  [WEBSMS]",CMIN,other,line
2023-06-13 10:18:02 AM,Luzon Grid-06/13/2023 10:11: 8-07CB04MBA emergency shutdown at 1004H due to low SF6 gas. (Unplanned Outage)  [WEBSMS],CLUZ,outage,plant
2023-06-13 10:03:01 AM,Mindanao Grid-06/13/2023 10:02: WMPC DG08 cut-in at 1001H as RPS [WEBSMS],CMIN,other,plant
2023-06-13 9:58:16 AM,"Mindanao Grid-06/13/2023 09:59: Agus6 U3 tripped at 0948H with 24.2 MW generation. Indications: SEL 700G, governor tripped, overspeed & 5C. Frequency dip to 59.5966 Hz.  [WEBSMS]",CMIN,outage,plant
2023-06-13 9:58:01 AM,Luzon Grid-06/13/2023 09:53: 9-02CB04ILJ emergency shutdown at 0951H due to low SF6 pressure. (Unplanned Outage)  [WEBSMS],CLUZ,outage,plant
2023-06-13 9:43:48 AM,"Visayas Grid-06/13/2023 09:43: DaanBantayan SS. 69 KV Lanao fdr auto reclosed at 0939H, indication: CN, 0 km  [WEBSMS]",CVIS,other,plant
2023-06-13 9:04:42 AM,Mindanao Grid-06/13/2023 09:05: WMPC DG03 cut-in at 0903H as RPS [WEBSMS],CMIN,other,plant
2023-06-13 8:31:18 AM,Mindanao Grid-06/13/2023 08:32: WMPC DG02 cut-in at 0830H as RPS [WEBSMS],CMIN,other,plant
2023-06-13 8:02:57 AM,Mindanao Grid-06/13/2023 08:03: WMPC DG07 cut-in at 0800H as RPS [WEBSMS],CMIN,other,plant
2023-06-13 7:52:57 AM,Mindanao Grid-06/13/2023 07:53: WMPC DG09 cut-in at 0750H as RPS [WEBSMS],CMIN,other,plant
2023-06-13 7:24:31 AM,Mindanao Grid-06/13/2023 07:25: Bunawan SS 138kV Bus 1 de-energized at 0646H for commissioning & energization of new Bus Protection under MSRP Phase 1 (Schedule 1). Planned Outage / Non- GOMP...  [WEBSMS],CMIN,restoration,line
2023-06-13 7:14:31 AM,Luzon Grid-06/13/2023 07:07: Labo-Gumaca 230kV Line 1 de-energized at 0706H. (Planned Outage)  [WEBSMS],CLUZ,outage,line
2023-06-13 5:55:46 AM,"Visayas Grid-06/13/2023 05:55: 138 kV Magdugo - Daanlungsod Line de-energized at 0554H, pre-arranged VPD-A activity, ECD: June 27, 2023  [WEBSMS]",CVIS,outage,line
2023-06-13 5:37:48 AM,"[NSO Update] Mindanao Grid-06/13/2023 05:38: GRID UPDATE AS OF 6:00 AM System Condition: NORMAL CAP=3421MW, PK=2179MW, RR=30MW, NetOpMargin: AM=1212, PM=1092, EVE=1252 Highest Unit O/L: GNPK 2&3 @138MW Derated Plant: MCC @100MW, MPC @40MW, MA1 @30.5MW, MA2 @50MW, AG1 @57MW, AG2 @84MW, AG4 @100MW, AG5 @32MW, AG6 @139MW, AG7 @28MW, PG4 @140MW [WEBSMS]",CMIN,other,plant
2023-06-13 5:37:47 AM,"[NSO Update] Luzon Grid-06/13/2023 05:32: GRID UPDATE AS OF 6:00 AM System Condition: NORMAL CAP=13225MW, PK=10246MW, RR=170MW, NetOpMargin: AM=2808, PM=1497, EVE=2307 Highest Unit O/L: GNPD 1&2 @668MW Derated Plant: CLC2 @180MW, MSLC2 @305MW, MSLC3 @290MW, SUAL 1 @580MW [WEBSMS]",CLUZ,other,plant
2023-06-13 5:37:32 AM,"[NSO Update] Visayas Grid-06/13/2023 05:35: GRID UPDATE AS OF 6:00 AM System Condition: NORMAL CAP=2505MW, PK=2223MW, RR=0MW, NetOpMargin: AM=282, PM=277, EVE=268 Highest Unit O/L: THVI 1&2 @169MW Derated Plant: TPC-Thermal @82MW, Leyte A (total) @330MW, LGPP1@79.5MW [WEBSMS]",CVIS,other,plant
2023-06-13 4:31:02 AM,[NSO Update] Luzon Grid-06/13/2023 04:26: Weather Update: Southwest Monsoon affecting Luzon.  [WEBSMS],CLUZ,other,weather
2023-06-13 4:28:10 AM,[NSO Update] Visayas Grid-06/13/2023 04:26: Weather Update: Southwest Monsoon affecting Luzon.  [WEBSMS],CVIS,other,weather
2023-06-13 4:27:07 AM,[NSO Update] Mindanao Grid-06/13/2023 04:28: Weather Update: Southwest Monsoon affecting Luzon.  [WEBSMS],CMIN,other,weather
2023-06-12 11:59:46 PM,Mindanao Grid-06/13/2023 00:00: WMPC DG02 cut-out at 2314H from RPS - System Voltage Requirement.  [WEBSMS],CMIN,outage,plant
2023-06-12 11:50:49 PM,Luzon Grid-06/12/2023 23:43: San Jose PCB 9-06CB04SJO closed/restored at 2341H (Unplanned Outage)  [WEBSMS],CLUZ,restoration,plant
2023-06-12 11:17:25 PM,Luzon Grid-06/12/2023 23:16: San Jose PCB 9-06CB04SJO tripped at 2311H (Unplanned Outage)  [WEBSMS],CLUZ,outage,plant
2023-06-12 10:50:21 PM,Mindanao Grid-06/12/2023 22:51: WMPC DG09 and DG07 cut-out at 2233H and 2245H respectively. From RPS - System Voltage Requirement.  [WEBSMS],CMIN,outage,plant
2023-06-12 10:29:05 PM,Mindanao Grid-06/12/2023 22:26: WMPC DG05 cut-out at 2214 from RPS - System Voltage Requirement.  [WEBSMS],CMIN,outage,plant
2023-06-12 10:23:44 PM,Mindanao Grid-06/12/2023 22:24: Agus 1 HEP Unit no. 2 cut-in at 2205H from PMS(Non-GOMP).  [WEBSMS],CMIN,other,plant
2023-06-12 9:45:44 PM,"Mindanao Grid-06/12/2023 21:45: KEGI JIMENEZ DG 1 cut out at 2139H, RPS STOP at 2138H. Time of call 2128H.  [WEBSMS]",CMIN,outage,plant
2023-06-12 6:38:23 PM,Mindanao Grid-06/12/2023 18:39: WMPC DG02 cut-in at 1831H as RPS - System Voltage [WEBSMS],CMIN,other,plant
2023-06-12 5:55:20 PM,"[NSO Update] Mindanao Grid-06/12/2023 17:56: GRID UPDATE AS OF 6:00 PM System Condition: NORMAL CAP=3345MW, PK=1933MW, RR=30MW, NetOpMargin: EVE=1382 Highest Unit O/L: GNPK 2&3 @138MW Derated Plant: MCC @100MW, MPC @40MW, MA1 @43MW, MA2 @50MW, AG1 @35MW, AG2 @84MW, AG4 @100MW, AG5 @32MW, AG6 @139MW, AG7 @28MW, PG4 @140MW [WEBSMS]",CMIN,other,plant
